id,type,text1,text2,text3,notes
lks_histrya,SHIP,"A general purpose fighter, capable of either defeating enemy strikecraft or harrassing larger vessels.",,,
lks_hylis,SHIP,"A cheap, but powerful interceptor, this drone is exceptionally powerful as a point-defense solution.",,,
lks_saha,SHIP,A torpedo bomber carrying a Sryas torpedo. This craft is capable of causing quite massive damage if left unchecked.,,,
lks_grynn,SHIP,"A superfighter capable of cutting through enemy squadrons and pose a danger to frigates, Grynn is a dangerous fighter to fight against.",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
# Systems,,,,,
lks_temporaldrive,SHIP_SYSTEM,Increases engine power and maneuverability while accelerating timeflow.,,,
lks_temporalbarrier,SHIP_SYSTEM,Reduces damage taken and accelerates timeflow.,,,
lks_remotetemporalbarrier,SHIP_SYSTEM,Reduces fighters' damage taken while accelerating their timeflow.,,,
lks_overlord,SHIP_SYSTEM,Increases timeflow while reducing nonmissile weapons' flux cost,,,
lks_fightertemporalbarrier,SHIP_SYSTEM,Reduces damage taken and accelerates timeflow.,,,
lks_fightertemporaldrive,SHIP_SYSTEM,Increases engine power and maneuverability while accelerating timeflow.,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
# Weapons,,,,,
lks_juniper,WEAPON,"A general purpose autocannon with explosive ammunition, this weapon deals respectable damage to both shields and armor, and could be used for point defense in a pinch.",,,
lks_huri,WEAPON,"A light pulse laser firing an explosive pulse with flux-raising capabilities. Not too dangerous on its own, but deadly en masse.",,,
lks_juniperlarge,WEAPON,"A twin mounted battery of enlarged Junipers boasting stronger ammunition, and better fire rate. A good general-purpose weapon.",,,
lks_pilas,WEAPON,"A small beam lance, capable of respectable damage for its size.",,,
lks_pyra,WEAPON,"A larger version of the Pilas, boasting more damage and faster downtime, albeit with limited ammo.",,,
lks_armorstripper,WEAPON,"A weapon designed to defeat starship defenses, the Fles fires special flechettes that shred armor at a blistering rate of fire. However, it is mostly ineffective against hull.",,,
lks_hyla,WEAPON,"A larger, double-mounted version of the Huri, with more power and faster fire rate.",,,
lks_hurys,WEAPON,"The largest of the Huri family, the Hurys fires more powerful and potent pulses. However, this causes the weapon to require charging, limiting its sustained fire capability.",,,
lks_rhypus,WEAPON,"A multi-stage MIRV. The missile is able to fire submunitions, not unlike the Sabot, allowing it to have a better chance to defeat point-defense systems.",,,
lks_lyas,WEAPON,"A railcannon that fires slugs at extreme speeds, this weapon is capable of defeating most shield generators from long range. It however, has less range than the Gauss Cannon.",,,
lks_tyrnn,WEAPON,"A powerful siege cannon capable of breaking most, if not all armor plating. With a fast muzzle velocity and good range, this weapon is not to be underestimated.",,,
lks_livs,WEAPON,"The smaller cousin of the Lyas, this weapon is good for long-range shield pressure.",,,
lks_tyas,WEAPON,"An anti-armor cannon with good range and damage, a good choice for long-range armorcracking.",,,
lks_prya,WEAPON,"A powerful beamlance capable of quickly shredding armor and hull, or overloading shield generators. A superb strike weapon.",,,
lks_hlys,WEAPON,"A small pulser with good firerate, the pulses behave similarly to flak bullets.",,,
lks_hrus,WEAPON,"A weapon similar to the Heavy Blaster, with more damage but slower fire rate.",,,
lks_sryas,WEAPON,"A pod carrying Sryas torpedoes. Similar to the Reaper, with lower yield, but faster and more durable.",,,
lks_heavysryas,WEAPON,A double-mounted pod of Sryas torpedoes.,,,
lks_ryas,WEAPON,"A LRM similar to the Pilum, with shorter range, but with a HE warhead.",,,
lks_constantrift,WEAPON,"An arcane weapon firing beams capable of causing rifts in reality. A powerful beam on its own, but the rifts add into its power.",,,
lks_supercapmissileright,WEAPON,A missile pod capable of firing staggering amounts of anti-shield missiles. Dangerous if not stopped by point defense.,,,
lks_supercapmissileleft,WEAPON,A missile pod capable of firing staggering amounts of anti-shield missiles. Dangerous if not stopped by point defense.,,,
lks_supercap_pd,WEAPON,"An extemely effective point defense weapon that fires tracking projectiles. The projectiles explode on impact, increasing their effectiveness against grouped targets.",,,
lks_supercapspinal,WEAPON,A terrifying weapon. Fires an extremely powerful projectile with flux-raising properties at high velocities. Extremely powerful against armor.,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Planets,,,,,
planet_arynha,CUSTOM,"The capital and breadbasket of Lakhesis, this planet is ruled by the Nurturer, one of Lakhesis' AI monarchs. Here, the people live in comfort, since the more unpleasant industries has been relegated to other planets. However, this doesn't mean it is defenseless, as the surface is dotted with surface batteries protecting the planet's cities. ",,,
planet_ilryan,CUSTOM,"The heart of industry, defense, and personal abode of the Arbiter, this planet is extremely defended, its factories churning out hulls to defend the Monarchy's sovereignty. The surface is even worse, filled with numerous spires dotted with surface batteries. Those that live here are trained to be soldiers from birth, filled with combat implants and engineered for war.",,,
girash_planet,CUSTOM,"The main source of volatiles for the Monarchy. This gas giant supplies the Monarchy's fuel production, through high gravity and extreme storms, Monarchy personnel harvest the elements necessary, before sending them to Turin to be produced into the lifeblood of interstellar travel.",,,
turin_planet,CUSTOM,"While sparse in resources and generally unpleasant to live in, Turin's lack of atmosphere allows the installation of a Synchotron Core, enhancing its fuel production output. The denizens of Turin take pride in supplying the Monarchy's navy with much-needed fuel.",,,
planet_khyr,CUSTOM,"While it doesn't fill a specific role within the Monarchy, the garrison stationed at Khyr helps bolster Lakhesis' defense fleets. With a rather small population, its role inside the Monarchy is also rather minor. However, there have been initiatives to grow the population.",,,
,,,,,
,,,,,
lakhesismonarchy,FACTION,"The Lakhesis Monarchy is a relatively powerful and prosperous polity in the Sector, based on the star system of Lakhesis. Although powerful, it doesn't dabble much in the Sector's internal politics, preferring to focus on its own affairs and self-improvement. Although the Monarchy hasn't shown signs of open hostility, the Hegemony and Luddic Church is concerned due to a simple fact: the Monarchy is ruled by AI, two, even.
The two ruling monarchs are referred to as the Nurturer and the Arbiter, due to their different attitudes. The Nurturer is kind and loving, she appreciates and holds life in a very high regard, while the Arbiter is cold and stalwart, prioritizing strength and skill, in order to defend the Monarchy. This difference in attitudes is reflected in the planets they rule, the terran world of Arynha is a pleasant place to live in, while the industry world of Ilryan is a supremely defended fortress.
The Monarchy places excellence above all else, due to the numerous threats that might appear, from Luddic zealots, to a potential Hegemony invasion. Although it desires peaceful unity with other polities, it also has to prepare for the worst. This leads the Monarchy to adopt methods that might be considered horrific to other polities, one of which is their engineered population growth program, where genetically-engineered babies are quickly grown to maturity, before fitted with implants to increase performance. Their brains are also implanted with information, allowing them to be productive right away. However, the Monarchy sees this as a necessary action to bolster its power.
The Monarchy wasn't always this way, however. It was a simple Domain vassal state with human administrators, albeit with hidden AI influence. It managed to appease the Domain of Man with tithes enough to be quietly ignored, avoiding the same fate as those openly defiant to the Domain, while slowly achieving self-sufficiency. When the Collapse occurred, the human administrators were overwhelmed, and in a strange deviation of human behavior, decided to prioritize the polity's survival instead of power, and surrendered control to two Alpha+ AI that would eventually be the Nurturer and Arbiter. The two AI immediately went to work, focusing the polity's efforts into self-sufficiency and bolstering the military, anticipating the incoming chaos, while also imposing isolation. Understandably some citizens rejected the rule of AI, but seeing the apparent benefits, and the AI rulers' genuine interest in keeping the polity afloat, they too eventually accepted the rule. Overtime, a sense of devotion developed within the citizens, unwilling to part with such a competent government, they became fiercely loyal, and when the monarchs began their transhumanist initiatives, the citizens readily accepted, some seeking for a way to serve better, some seeking purpose within their society. Enhancements became more intricate, and when Lakhesis finally ended its period of isolation, it has become a radically different polity than its Pre-Collapse counterpart.",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
